"Four-Year Graduation Rates, Trend"
"All Districts, All Students"

"","Non-Graduates",,,,,,,,,
"","Four-Year Still Enrolled Rate by Year",,,,,"Four-Year Other Rate by Year",,,,
"District","2010-11","2011-12","2012-13","2013-14","2014-15","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District",18.6,18.0,12.7,17.2,6.4,12.2,5.9,11.8,6.4,9.9
"Avon School District","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","*",3.0,"*","*",2.9,"*",2.3,"*","*",3.3
"Bethel School District","*","*","*",2.5,"*","*","*","*",4.9,"*"
"Bloomfield School District",11.2,7.1,6.1,4.1,5.7,14.4,14.8,5.5,8.3,6.8
"Bolton School District","*","*","*","*","*","*","*","*","*","*"
"Branford School District",3.5,3.9,4.4,5.7,5.5,2.8,3.1,3.3,3.3,4.3
"Bridgeport Achievement First District","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport School District",26.4,24.4,21.7,19.1,24.7,13.2,9.3,11.0,9.4,11.8
"Bristol School District",13.7,8.4,11.7,9.2,12.5,9.6,6.5,8.5,9.0,6.2
"Brookfield School District",3.0,"*","*","*","*",2.3,"*","*","*","*"
"Canton School District","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council",11.0,14.3,10.6,9.1,5.3,5.4,6.3,4.5,2.2,4.3
"Cheshire School District",1.6,1.7,1.6,1.5,"*",3.5,2.4,4.2,3.1,"*"
"Clinton School District","*","*",4.8,"*","*","*","*",6.9,"*","*"
"Colchester School District",2.4,"*","*","*",3.9,4.8,"*","*","*",3.9
"Common Ground High School District","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System",6.1,3.8,3.2,2.8,2.2,0.5,0.3,0.4,1.0,0.4
"Coventry School District",4.6,7.2,"*","*","*",5.2,6.5,"*","*","*"
"Cromwell School District","*",3.9,"*","*","*","*",4.6,"*","*","*"
"Danbury School District",12.9,11.1,11.6,11.0,12.6,9.9,12.2,13.0,10.9,10.4
"Darien School District",2.1,"*","*","*","*",2.1,"*","*","*","*"
"Department of Mental Health and Addiction Services","N/A","N/A","*","*","N/A","N/A","N/A","*","*","N/A"
"Derby School District",16.0,15.1,13.2,8.8,8.8,12.8,9.4,22.0,9.8,7.8
"East Granby School District","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District",11.7,13.7,14.0,10.1,7.4,8.7,9.6,8.1,11.6,4.6
"East Haven School District",9.7,19.6,18.3,15.0,20.1,5.3,8.3,7.7,4.2,4.5
"East Lyme School District","*",3.3,"*","*",2.2,"*",2.3,"*","*",2.9
"East Windsor School District",9.7,6.7,7.3,"*","*",8.6,6.7,10.4,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","*","*",13.0,15.2,15.3,"*","*",8.7,10.6,9.7
"Ellington School District","*",5.4,3.5,"*","*","*",4.4,4.5,"*","*"
"Elm City College Preparatory School District","N/A","*","*","*","*","N/A","*","*","*","*"
"Enfield School District",9.9,9.0,8.1,8.7,9.4,8.8,5.9,4.5,5.0,3.8
"Explorations District",23.5,"*","*","*","*",23.5,"*","*","*","*"
"Fairfield School District",2.7,2.6,2.1,2.5,2.4,4.0,3.2,5.2,3.7,3.3
"Farmington School District","*",2.0,1.8,"*",1.8,"*",3.9,3.1,"*",2.4
"Glastonbury School District",1.5,1.8,1.3,1.0,"*",2.0,2.3,1.4,2.9,"*"
"Granby School District","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District",1.4,3.4,1.4,1.2,1.1,4.1,4.3,3.8,3.7,3.7
"Griswold School District",12.0,"*",7.6,9.4,6.8,7.0,"*",5.3,5.9,4.7
"Groton School District",16.1,14.5,12.2,11.7,9.2,3.3,3.8,5.5,3.5,3.3
"Guilford School District","*","*",4.6,3.1,2.6,"*","*",2.1,4.2,2.6
"Hamden School District",9.4,8.6,5.3,3.5,6.7,7.3,7.1,9.5,7.4,4.9
"Hartford School District",25.3,17.9,21.9,15.8,18.3,11.4,17.5,6.6,12.7,11.6
"Killingly School District",22.7,15.2,13.9,10.6,12.8,6.6,7.9,11.2,8.7,10.3
"Learn","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Lebanon School District","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District",6.0,"*",4.7,3.6,"*",4.3,"*",5.6,5.7,"*"
"Lisbon School District","*","*","*","*","N/A","*","*","*","*","N/A"
"Litchfield School District","*","*","*","*","*","*","*","*","*","*"
"Madison School District","*","*","*","*","*","*","*","*","*","*"
"Manchester School District",17.6,17.2,14.8,9.5,12.8,11.2,9.7,10.4,8.4,6.4
"Meriden School District",21.6,22.3,20.3,15.8,18.2,8.6,8.1,9.2,8.1,7.8
"Middletown School District",12.6,14.4,11.6,6.6,4.1,10.6,9.5,7.4,10.8,7.6
"Milford School District",4.1,5.0,3.2,3.0,3.3,8.1,8.9,11.8,4.9,5.9
"Monroe School District","*","*","*","*","*","*","*","*","*","*"
"Montville School District",11.2,"*",8.0,7.8,"*",3.9,"*",6.4,3.6,"*"
"Naugatuck School District",11.4,11.4,11.9,11.1,9.5,5.9,4.3,10.1,6.9,5.0
"New Britain School District",29.6,25.6,25.2,18.6,20.5,19.1,13.9,13.9,17.8,10.9
"New Canaan School District","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District",3.7,"*","*","*","*",5.0,"*","*","*","*"
"New Haven School District",25.1,20.7,20.8,16.6,16.9,11.0,8.4,7.8,7.9,8.0
"New London School District",19.1,22.6,25.3,18.9,17.3,18.3,15.5,10.5,10.1,8.9
"New Milford School District",8.9,5.6,8.4,6.5,6.2,4.0,4.1,4.8,3.7,3.5
"Newington School District",6.3,5.9,5.6,2.2,4.7,9.9,5.0,4.3,4.9,2.5
"Newtown School District",3.8,3.0,"*","*",1.3,2.5,2.2,"*","*",3.3
"North Branford School District","*","*","*","*","*","*","*","*","*","*"
"North Haven School District",7.8,3.8,6.7,6.3,4.1,4.6,3.8,5.7,5.3,4.7
"North Stonington School District","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District",9.3,11.0,10.8,6.2,7.5,6.5,4.1,4.5,10.0,2.9
"Norwich Free Academy District",14.9,12.6,10.2,10.3,10.8,3.8,1.2,8.6,2.8,1.4
"Norwich School District",44.8,50.7,"N/A","N/A","N/A",31.0,26.9,"N/A","N/A","N/A"
"Old Saybrook School District","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District",8.7,8.4,5.9,9.8,10.7,5.7,6.4,9.4,6.3,7.7
"Plainville School District",8.9,4.3,5.8,5.7,"*",3.0,2.9,5.3,5.7,"*"
"Plymouth School District","*",7.9,7.0,5.0,"*","*",7.9,7.8,7.9,"*"
"Portland School District","*","*","*","*","*","*","*","*","*","*"
"Putnam School District",10.7,"*",6.3,"*","*",10.7,"*",16.7,"*","*"
"Regional School District 01",10.9,"*","*",5.8,"*",5.8,"*","*",5.0,"*"
"Regional School District 04","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05",4.2,"*",2.3,"*",1.9,3.4,"*",1.8,"*",1.7
"Regional School District 06","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","*",2.9,"*","*","*","*",3.9,"*","*","*"
"Regional School District 08",7.5,4.4,3.2,"*",3.0,7.9,5.1,4.9,"*",4.5
"Regional School District 09","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","*","*",3.0,2.8,"*","*","*",4.5,2.8,"*"
"Regional School District 11","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15",4.1,2.4,"*","*","*",4.1,4.0,"*","*","*"
"Regional School District 16",6.1,5.1,5.9,"*","*",5.6,3.0,4.8,"*","*"
"Regional School District 17","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19",8.1,6.0,4.1,2.0,2.7,9.2,6.7,8.2,4.8,5.8
"Ridgefield School District",1.4,"*","*","*",1.6,2.5,"*","*","*",2.2
"Rocky Hill School District","*",4.3,4.0,"*","*","*",3.8,6.2,"*","*"
"Seymour School District",11.6,6.5,7.2,7.2,6.8,5.3,6.5,7.2,5.8,4.1
"Shelton School District",6.0,5.1,4.3,4.1,3.0,6.2,3.5,5.6,4.6,3.0
"Simsbury School District",2.0,"*","*",2.3,"*",3.1,"*","*",3.3,"*"
"Somers School District","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District",5.4,1.8,2.6,1.7,4.2,3.8,4.4,3.1,4.6,3.4
"Southington School District",3.5,2.6,4.3,1.8,3.1,6.0,5.8,4.7,4.9,4.0
"Stafford School District",12.6,"*",7.8,"*","*",11.9,"*",5.4,"*","*"
"Stamford Academy District",21.8,22.2,16.2,19.3,35.4,41.8,33.3,56.8,56.1,31.3
