"Four-Year Graduation Rates, Trend"
"All Districts, All Students"

"Stamford School District",7.0,8.9,6.6,5.0,7.0,7.7,5.8,4.5,6.1,5.4
"Stonington School District",3.3,"*","*","*","*",3.3,"*","*","*","*"
"Stratford School District",7.4,8.5,6.0,3.3,4.5,4.5,5.0,5.4,4.8,3.9
"Suffield School District","*",6.3,3.6,"*","*","*",2.9,3.6,"*","*"
"The Bridge Academy District","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District",12.0,"*",14.9,"*","*",10.7,"*",9.6,"*","*"
"Thomaston School District","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","*","*","*","*","*","*","*","*","*","*"
"Torrington School District",15.5,15.0,6.5,8.5,9.2,7.1,5.3,9.0,7.7,7.1
"Trumbull School District","*",1.7,1.1,1.3,"*","*",1.1,1.1,2.7,"*"
"Unified School District #1",65.2,70.2,64.0,74.9,80.1,31.4,28.1,"*","*",17.5
"Unified School District #2",30.0,66.1,57.1,52.3,66.7,40.0,13.6,23.8,20.0,"*"
"Vernon School District",11.7,12.0,12.8,10.0,11.5,6.6,6.0,5.8,7.7,3.7
"Wallingford School District",7.8,4.5,5.0,4.9,4.4,5.2,3.2,4.1,3.7,2.4
"Waterbury School District",29.5,31.7,28.6,26.4,25.4,4.8,5.6,4.9,5.8,5.4
"Waterford School District",6.3,5.4,4.5,"*","*",2.6,2.9,4.1,"*","*"
"Watertown School District",5.6,4.3,7.4,3.5,5.4,6.9,4.7,5.9,4.8,6.3
"West Hartford School District",4.8,3.6,4.0,2.4,3.0,4.8,3.7,2.9,3.5,3.8
"West Haven School District",25.0,23.5,22.6,17.0,17.9,7.0,4.3,7.7,9.4,4.5
"Westbrook School District","*","*","*","*","*","*","*","*","*","*"
"Weston School District","*","*","*","*","*","*","*","*","*","*"
"Westport School District",1.3,"*","*","*","*",2.1,"*","*","*","*"
"Wethersfield School District",4.9,5.5,4.4,3.6,3.9,3.9,4.1,5.2,4.6,5.3
"Wilton School District","*","*","*","*","*","*","*","*","*","*"
"Windham School District",21.7,19.3,14.6,21.9,12.3,17.2,10.5,10.1,4.9,6.9
"Windsor Locks School District",5.9,"*","*","*",6.9,8.9,"*","*","*",6.1
"Windsor School District",9.1,8.7,8.7,3.7,5.2,7.9,6.2,9.9,6.7,6.8
"Wolcott School District",4.0,3.2,3.2,"*","*",3.5,3.2,2.7,"*","*"
"Woodstock Academy District","*","*","*",2.2,"*","*","*","*",2.5,"*"

